listing_id,proxy_mean,proxy_std,review_count,mabs_mean,mover_mean,munder_mean,rating_mean,delta_S01,delta_S02,delta_S03,delta_S04,delta_S05,delta_S06,delta_S07,delta_S08,delta_S09,delta_S10,over_ratio,under_ratio
937917144482762419,0.06699116985153719,0.04506662886032161,7,0.10257381242857141,0.03571740542857138,0.06685640699999996,4.67,-0.07489023428571433,-0.010055831428571471,-0.09206402142857144,-0.007439791428571471,-0.049107274285714264,-0.0017021414285714148,0.04434809142857147,-0.10976530857142851,-0.011108617142857142,0.00039511285714290335,0.8571428571428571,0.14285714285714285
937927979762952955,0.0599781420493116,0.04889189175769108,3,0.08878587266666664,0.013051394999999967,0.07573447766666659,4.67,-0.06437199999999997,-0.05759404999999993,-0.02091295,-0.07899259333333332,-0.11191912666666663,-0.04470072666666666,0.0268546033333333,-0.07875764666666657,-0.1233725266666666,-0.07306380999999997,1.0,0.0
937935210290408974,0.08646490350321856,0.0011906435234262365,3,0.06193677133333327,0.02965938566666663,0.03227738566666657,4.33,-0.0020517466666666317,-0.031131323333333405,0.06975845333333333,-0.04686593333333323,-0.06607743999999993,-0.0376903099999999,0.03688723666666666,0.02544885666666663,0.018327303333333232,0.0072149033333333,1.0,0.0
938421117122010799,-0.02525992244003408,0.1000769900312759,11,0.2264391142890909,0.08451426128909088,0.14192485299999996,4.85,-0.10086130418181814,-0.07241682818181815,-0.17909445574545452,0.02436213454545453,-0.02320086445454547,0.05830318909090912,-0.06897240181818177,-0.12170502454545451,-0.07762050818181819,-0.012899853636363656,0.45454545454545453,0.5454545454545454
938431811499141903,-0.09641051229091054,0.09920591870382457,15,0.23698080246666667,0.04822579526666666,0.1887550072,4.98,-0.2258113653333333,-0.014885151333333334,-0.33930162713333334,0.060550949999999985,-0.170494128,0.08009630200000004,-0.1658105246666666,-0.24981333799999997,-0.19839163153333333,-0.18143160533333333,0.2,0.8
940012438497375577,-0.050690655279595126,0.038914555629347536,4,0.12431204549999997,0.06664301975,0.05766902574999995,5.0,0.0251878375,0.170873175,-0.276587555,0.2748518,-0.012352164999999976,0.0110971325,0.09422424250000003,-0.21169051999999997,0.0023216024999999293,0.011814390000000001,0.0,1.0
942750363293463100,-0.1346811971491226,0.04053601838214659,16,0.234592940625,0.034322800875,0.20027013974999996,4.95,-0.24746993343749996,-0.01995763937500003,-0.37386176625,0.08307875374999998,-0.2090596178125,0.14305142562500003,-0.26510527312499993,-0.25629138812499996,-0.27509156625,-0.23876638374999998,0.0,1.0
950211425725610511,0.013200951486506216,0.03600641906149846,127,0.09529359488976374,0.019649833590551145,0.07564376129921256,4.93,-0.0965031923622047,-0.09809649488188972,-0.13753593708661413,-0.06020237590551175,0.01130242535433065,-0.06553358858267717,-0.07275341370078742,-0.11678156748031492,0.025716494645669313,0.0504483729133858,0.6614173228346457,0.33858267716535434
958199983873241221,0.047907626783116976,0.03848864153266792,14,0.09420500792857138,0.027616230499999922,0.0665887774285714,4.85,-0.03588173571428564,-0.07891936214285714,-0.13668273857142857,-0.06055646428571432,0.011650666428571372,0.0006405164285713777,0.02787643642857143,-0.12608968142857147,0.0214885628571428,-0.013251669285714264,0.9285714285714286,0.07142857142857142
963920695464462572,-0.06206113467190254,0.036302754567471854,49,0.10265124487755099,0.057629509877550944,0.04502173499999999,4.84,-0.1190553773469388,0.01762617040816328,-0.03733635000000002,0.05454798775510197,0.01831458693877548,0.14598082428571424,0.12344618346938772,0.009936767142857166,-0.0646298575510204,-0.022753186326530655,0.061224489795918366,0.9387755102040817
965313684808466476,-0.05765938088999127,0.04758283290916243,5,0.10711180940000001,0.04391087239999995,0.063200937,5.0,-0.19498352199999994,0.01143450000000002,-0.11632597599999998,0.054506935999999936,0.035688448,0.04868531399999998,0.014661590000000039,-0.06711328600000009,-0.009261364000000041,0.02980671399999994,0.0,1.0
966287799980701967,-0.03589525935026376,0.06013647974659344,17,0.11702340899999997,0.04011976770588227,0.07690364129411764,4.92,-0.11667765411764709,-0.05165208764705881,-0.15730824588235295,-0.003528828235294167,0.012109758823529387,0.12170587705882348,-0.03291756117647063,-0.1261423835294118,-0.01846721176470592,0.005039600588235229,0.23529411764705882,0.7647058823529411
969886763377526954,0.035756404576021056,0.0448999883721464,58,0.09764877553448272,0.039031133499999975,0.05861764203448274,4.86,-0.039034992241379275,-0.0576253970689655,-0.1267431418965517,-0.03165285396551724,0.02398636258620686,0.04016866103448269,-0.004839395172413759,-0.10531830551724142,0.08581583948275864,0.019378137413793066,0.8275862068965517,0.1724137931034483
980034348801186320,-0.007766084926363454,0.03476640844048031,22,0.09292057790909088,0.034802201590909014,0.058118376318181814,4.91,-0.043593488181818185,0.017901526363636313,-0.09825313409090909,0.057676356363636376,-0.0023944768181817584,0.15962064090909084,-0.10129272499999999,-0.15646532045454545,-0.014628922727272764,-0.05173220363636361,0.4090909090909091,0.5909090909090909
983306819910081094,-0.0297493884679237,0.029849766692741656,3,0.11035055099999995,0.026447199666666633,0.08390335133333333,4.33,-0.29135941,0.021988243333333397,-0.17886765666666662,0.15443728666666665,-0.012412616666666631,0.0018525733333332993,-0.025346113333333403,-0.14048205999999996,-0.04373447333333336,-0.06063728999999996,0.3333333333333333,0.6666666666666666
